Start Date,End Date,Duration(Days),Main Cause,Districts,State,Human fatality,Human injured,Human Displaced,Description of Casualties/injured,Extent of damage 
16-10-2020 00:00,16-10-2020 00:00,1,Heavy rains & Floods,"Beed, Kolhapur, Pune, Satara, Sindhudurg, Solapur",Maharashtra,29,,8,"Total 29 persons died in different incidences. Pune - 7, Satara - 2, Sangli - 6, Solapur - 14. While 8 others missing. 513 livestock perished.","i) Extensive damage to Rice, Cotton, Soyabean, Tur, Groundnut, Sugarcane, Pomegranates,,Vegetable crops reported. ii) Damage to 87,416 hectares of cropland (Pune -18746, Satara - 1420, Sangli - 8276, Solapur - 58581, Kolhapr - 393) reported. iii) Damage to more than 2,300 houses in Solapur, Sangli, Satara,,Pune districts reported. iv) Extensive damage to old hemadpanthi temple of Lord Shiva named as Sangameshwar mandir in Patoda is a tehsil of Beed Dist. reported. v) Extensive damage to roads in Karul Ghat (Gaganbawada) reported, due to which it was closed. 40,036 people shifted to safer places from Pune Dist. vi) Extensive damage reported from Solapur Dist. vii) More than 21,000 people shifted to safer places."
17-10-2020 00:00,17-10-2020 00:00,1,Heavy Rains,Nagpur,Maharashtra,,,,,Damage to Paddy crops reported
18-10-2020 00:00,20-10-2020 00:00,2,Heavy rains & Floods,Pune,Maharashtra,,,,,i) 2000 hectares cropland inundated. ii) Damage to vehicles reported
20-10-2020 00:00,23-10-2020 00:00,4,Heavy rains,Nagpur,Maharashtra,,,,,"Damage to Paddy, Cotton, fruit crops including Oranges reported."
07-01-2021 00:00,08-01-2021 00:00,2,Heavy Rains,Nashik,Maharashtra,,,,,
07-01-2021 00:00,08-01-2021 00:00,2,Heavy Rains,Pune,Maharashtra,,,,,
30-01-2021 00:00,30-01-2021 00:00,1,Heavy Rains,Nagpur,Maharashtra,,,,,
17-02-2021 00:00,19-02-2021 00:00,3,Heavy Rains,Nagpur,Maharashtra,,,,,
18-02-2021 00:00,19-02-2021 00:00,2,Unseasonal Heavy rains,"Akola, Aurangabad, Beed, Jalna, Kolhapur, Latur, Nagpur, Dharashiv,Pune, Ratnagiri, Sangli, Sindhudurg, Solapur ",Maharashtra,,,,,
19-02-2021 00:00,21-02-2021 00:00,3,Heavy Rains,Washim,Maharashtra,,,,,
19-03-2021 00:00,20-03-2021 00:00,2,Heavy rains,"Ahmednagar, Akola, Aurangabad, Buldhana, Jalna, Kolhapur, Nanded, Nashik, Parbhani, Washim",Maharashtra,,,,,
14-04-2021 00:00,14-04-2021 00:00,1,Heavy rains,"Ahmednagar, Aurangabad, , Jalna, Nanded, Nashik, Pune, Sangli, Satara, Sindhudurg, Solapur",Maharashtra,,,,,
07-05-2021 00:00,07-05-2021 00:00,1,Heavy rains,Latur,Maharashtra,,,,,
09-05-2021 00:00,09-05-2021 00:00,1,Heavy rains,"Beed, Hingoli, Latur,  Dharashiv, Parbhani",Maharashtra,,,,,
10-05-2021 00:00,30-05-2021 00:00,5,Heavy Rains ,Nagpur ,Maharashtra,,,,,
03-06-2021 00:00,03-06-2021 00:00,1,Heavy rains,Kolhapur,Maharashtra,3,,,,
03-06-2021 00:00,03-06-2021 00:00,1,Heavy Rains ,Nagpur ,Maharashtra,,,,,
03-06-2021 00:00,25-06-2021 00:00,5,Heavy Rains ,Nagpur ,Maharashtra,,,,,
09-06-2021 00:00,09-06-2021 00:00,1,Heavy rains,"Beed, Yavatmal ",Maharashtra,,,,,
09-06-2021 00:00,09-06-2021 00:00,1,Heavy rains,Mumbai Suburban,Maharashtra,11,17,,,
08-07-2021 00:00,08-07-2021 00:00,1,Heavy Rains ,Nagpur ,Maharashtra,,,,,
09-07-2021 00:00,09-07-2021 00:00,1,Heavy rains & floods,Dharashiv,Maharashtra,2,,,,
11-07-2021 00:00,11-07-2021 00:00,1,Heavy rains,Ratnagiri,Maharashtra,2,,,,
11-07-2021 00:00,11-07-2021 00:00,1,Heavy rains & floods,Nanded,Maharashtra,1,,,,
12-07-2021 00:00,12-07-2021 00:00,1,Heavy rains & Floods,"Ahmednagar, Hingoli, Kolhapur, Nanded, Parbhani, Raigarh, Ratnagiri, Sindhudurg",Maharashtra,,,,,
12-07-2021 00:00,12-07-2021 00:00,1,Heavy rains & Floods,Hingoli,Maharashtra,2,,,,
12-07-2021 00:00,12-07-2021 00:00,1,Heavy rains & Floods,Ratnagiri,Maharashtra,1,,,,
12-07-2021 00:00,12-07-2021 00:00,1,Heavy rains & Floods,Parbhani,Maharashtra,,,,,
13-07-2021 00:00,15-07-2021 00:00,3,"Heavy rains,  Floods & Landslides",Ratnagiri,Maharashtra,3,,,,
13-07-2021 00:00,15-07-2021 00:00,3,"Heavy rains,  Floods & Landslides",Sindhudurg ,Maharashtra,3,,,,
17-07-2021 00:00,17-07-2021 00:00,1,"Heavy rains,  Floods & Landslides",Mumbai ,Maharashtra,10,,,,
17-07-2021 00:00,17-07-2021 00:00,1,"Heavy rains,  Floods & Landslides",Mumbai Suburban ,Maharashtra,22,7,,,
17-07-2021 00:00,17-07-2021 00:00,1,"Heavy rains,  Floods & Landslides",Thane,Maharashtra,1,,,,
17-07-2021 00:00,17-07-2021 00:00,1,"Heavy rains,  Floods & Landslides",Palghar ,Maharashtra,,,1,,
17-07-2021 00:00,17-07-2021 00:00,1,"Heavy rains,  Floods & Landslides","Mumbai, Mumbai Suburban, Palghar, Raigarh, Sindhudurg, Thane, Washim",Maharashtra,,,,,
18-07-2021 00:00,18-07-2021 00:00,1,Heavy Rains,"Nagpur, Washim",Maharashtra,,,,,
19-07-2021 00:00,19-07-2021 00:00,1,Heavy Rains ,"Ratnagiri, Sindhudurg",Maharashtra,,,,,
19-07-2021 00:00,19-07-2021 00:00,1,Landslide,Thane,Maharashtra,5,3,,,
20-07-2021 00:00,20-07-2021 00:00,1,Heavy Rains,Washim,Maharashtra,,,,,
22-07-2021 00:00,22-07-2021 00:00,1,Landslide,Kolhapur,Maharashtra,2,,,,
22-07-2021 00:00,22-07-2021 00:00,1,Landslide,Raigarh,Maharashtra,52,13,36,,
22-07-2021 00:00,22-07-2021 00:00,1,Heavy Rains & Floods,Palghar,Maharashtra,3,,,,
22-07-2021 00:00,22-07-2021 00:00,1,Heavy Rains & Floods,Chandrapur,Maharashtra,1,,,,
22-07-2021 00:00,22-07-2021 00:00,1,Heavy Rains & Floods,Wardha,Maharashtra,2,,,,
22-07-2021 00:00,23-07-2021 00:00,2,"Heavy Rains & Floods, Landslide",Ratnagiri,Maharashtra,6,7,5,,
22-07-2021 00:00,22-07-2021 00:00,1,Landslide,Satara,Maharashtra,,3,,,
22-07-2021 00:00,22-07-2021 00:00,1,Heavy Rains & Floods (Venna river),Satara,Maharashtra,4,,,,
23-07-2021 00:00,23-07-2021 00:00,1,Heavy Rains & Floods,Satara,Maharashtra,6,,,,
23-07-2021 00:00,23-07-2021 00:00,1,Landslide,Satara,Maharashtra,2,,,,
23-07-2021 00:00,23-07-2021 00:00,1,Heavy Rains & Floods,Wardha,Maharashtra,2,,,,
23-07-2021 00:00,23-07-2021 00:00,1,Heavy Rains & Floods,Hingoli,Maharashtra,3,,,,
23-07-2021 00:00,23-07-2021 00:00,1,Landslide,Sindhudurg,Maharashtra,2,,,,
23-07-2021 00:00,23-07-2021 00:00,1,Heavy Rains & Floods,Sindhudurg,Maharashtra,1,,,,
23-07-2021 00:00,23-07-2021 00:00,1,Heavy rains,Mumbai Suburban,Maharashtra,4,,,,
23-07-2021 00:00,23-07-2021 00:00,1,Landslide,Thane,Maharashtra,2,,,,
25-07-2021 00:00,25-07-2021 00:00,1,Heavy rains,Jalgaon ,Maharashtra,1,,,,
26-07-2021 00:00,26-07-2021 00:00,1,Heavy rains & Floods,Pune ,Maharashtra,1,,,,
22-07-2021 00:00,26-07-2021 00:00,5,"Heavy Rains & Floods, Landslide","Akola, Amravati, Hingoli, Jalna, Kolhapur, Nagpur, Nanded, Nashik, Palghar, Parbhani, Pune, Raigarh, Satara, Sangli, Sindhudurg, Thane, Wardha, Washim",Maharashtra,,,,,
22-07-2021 00:00,26-07-2021 00:00,5,"Heavy Rains & Floods, Landslide",Pune ,Maharashtra,,2,,,
22-07-2021 00:00,26-07-2021 00:00,5,"Heavy Rains & Floods, Landslide",Parbhani ,Maharashtra,,,,,
30-08-2021 00:00,30-08-2021 00:00,1,Heavy Rains & Floods,Latur,Maharashtra,1,,,,
30-08-2021 00:00,30-08-2021 00:00,1,Heavy Rains & Floods,Nanded ,Maharashtra,2,,,,
30-08-2021 00:00,30-08-2021 00:00,1,Heavy Rains & Floods,Yavatmal,Maharashtra,2,,,,
31-08-2021 00:00,31-08-2021 00:00,1,"Heavy Rains, Floods &  Landslide","Ahmednagar, Aurangabad, Beed, Dhule, Jalgaon, Washim",Maharashtra,,,,,
31-08-2021 00:00,31-08-2021 00:00,1,"Heavy Rains, Floods &  Landslide",Ahmednagar,Maharashtra,1,,,,
31-08-2021 00:00,31-08-2021 00:00,1,"Heavy Rains, Floods &  Landslide",Beed,Maharashtra,1,,,,
31-08-2021 00:00,31-08-2021 00:00,1,"Heavy Rains, Floods &  Landslide",Jalgaon,Maharashtra,2,,,,
01-09-2021 00:00,01-09-2021 00:00,1,Heavy Rains & Floods,Akola,Maharashtra,1,,,,
06-09-2021 00:00,06-09-2021 00:00,1,Heavy Rains & Floods,"Beed, ",Maharashtra,3,,,,
06-09-2021 00:00,06-09-2021 00:00,1,Heavy Rains & Floods,"Beed, Jalna, Dharashiv, Parbhani  ",Maharashtra,,,,,
07-09-2021 00:00,07-09-2021 00:00,1,Heavy Rains & Floods,"Akola, Beed, Aurangabad, Akola, Beed, Buldhana, Gondia, Jalgaon, Jalna, Latur, Nanded, Dharashiv, Parbhani, Raigarh, Ratnagiri, Washim, Yavatmal",Maharashtra,,,,,
07-09-2021 00:00,07-09-2021 00:00,1,Heavy Rains & Floods,Akola ,Maharashtra,2,,,,
07-09-2021 00:00,07-09-2021 00:00,1,Heavy Rains & Floods,Beed,Maharashtra,1,,,,
07-09-2021 00:00,07-09-2021 00:00,1,Heavy Rains & Floods,Gondia,Maharashtra,4,,,,
07-09-2021 00:00,07-09-2021 00:00,1,Heavy Rains & Floods,Nanded,Maharashtra,2,,,,
07-09-2021 00:00,07-09-2021 00:00,1,Heavy Rains & Floods,Washim,Maharashtra,1,,,,
07-09-2021 00:00,07-09-2021 00:00,1,Heavy Rains & Floods,Yavatmal ,Maharashtra,2,,,,
01-09-2021 00:00,10-09-2021 00:00,10,Heavy Rains & Floods,"Aurangabad, Jalna, Latur",Maharashtra,,,,,
01-09-2021 00:00,10-09-2021 00:00,10,Heavy Rains & Floods,Jalna,Maharashtra,,,,,
08-09-2021 00:00,10-09-2021 00:00,3,Heavy Rains & Floods,"Nagpur, Washim",Maharashtra,,,,,
15-09-2021 00:00,16-09-2021 00:00,2,Heavy Rains & Floods,Nagpur,Maharashtra,,,,,
20-09-2021 00:00,21-09-2021 00:00,2,Heavy Rains & Floods,"Bhandara, Chandrapur, Gondia, Nagpur",Maharashtra,,,,,
20-09-2021 00:00,21-09-2021 00:00,2,Heavy Rains & Floods,Chandrapur,Maharashtra,2,,,,
23-09-2021 00:00,25-09-2021 00:00,3,Heavy Rains & Floods,"Nagpur, Washim",Maharashtra,,,,,
26-09-2021 00:00,26-09-2021 00:00,1,Heavy Rains & Floods,Washim,Maharashtra,1,,,,
27-09-2021 00:00,30-09-2021 00:00,4,Heavy Rains & Floods,"Nagpur, Washim",Maharashtra,,,,,
28-09-2021 00:00,28-09-2021 00:00,1,Heavy Rains & Floods,"Amravati, Aurangabad, Beed, Jalna, Latur, Nanded, Nashik, Dharashiv, Parbhani, Yavatmal",Maharashtra,,,,,
28-09-2021 00:00,28-09-2021 00:00,1,Heavy Rains & Floods,"Aurangabad, ",Maharashtra,10,,,,
28-09-2021 00:00,28-09-2021 00:00,1,Heavy Rains & Floods,Beed,Maharashtra,2,,,,
28-09-2021 00:00,28-09-2021 00:00,1,Heavy Rains & Floods,Jalna,Maharashtra,1,,,,
28-09-2021 00:00,28-09-2021 00:00,1,Heavy Rains & Floods,Latur,Maharashtra,1,,,,
28-09-2021 00:00,28-09-2021 00:00,1,Heavy Rains & Floods,Nashik,Maharashtra,1,,,,
28-09-2021 00:00,28-09-2021 00:00,1,Heavy Rains & Floods,Dharashiv,Maharashtra,2,,,,
28-09-2021 00:00,28-09-2021 00:00,1,Heavy Rains & Floods,Parbhani ,Maharashtra,2,,,,
28-09-2021 00:00,28-09-2021 00:00,1,Heavy Rains & Floods,Yavatmal,Maharashtra,4,,1,,
02-10-2021 00:00,02-10-2021 00:00,1,Heavy Rains,"Aurangabad, Beed, Jalna, Parbhani",Maharashtra,,,,,
03-10-2021 00:00,03-10-2021 00:00,1,Heavy Rains,Washim,Maharashtra,,,,,
04-10-2021 00:00,05-10-2021 00:00,2,Heavy Rains,"Hingoli, Washim",Maharashtra,,,,,
06-10-2021 00:00,06-10-2021 00:00,1,Heavy Rains & Floods (Girija river),Aurangabad,Maharashtra,3,,,,
06-10-2021 00:00,06-10-2021 00:00,1,Heavy Rains & Floods (Girija river),Pune,Maharashtra,,,,,
09-10-2021 00:00,09-10-2021 00:00,1,Heavy Rains & Floods,Ahmednagar,Maharashtra,1,,,,
09-10-2021 00:00,09-10-2021 00:00,1,Heavy Rains & Floods,Dharashiv,Maharashtra,1,,,,
09-10-2021 00:00,09-10-2021 00:00,1,Heavy Rains & Floods,"Ahmednagar, Nashik, Dharashiv, Pune",Maharashtra,,,,,
18-10-2021 00:00,19-10-2021 00:00,2,Heavy Rains,Washim,Maharashtra,,,,,
20-10-2021 00:00,20-10-2021 00:00,1,Heavy Rains,Washim,Maharashtra,1,,,,
05-11-2021 00:00,05-11-2021 00:00,1,Heavy Rains,Nashik,Maharashtra,,,,,
01-12-2021 00:00,02-12-2021 00:00,2,Heavy Rains,"Dhule, Jalgaon, Kolhapur, Nandurbar, Nashik, Palghar, Pune,  Raigarh, Ratnagiri, Sangli, Satara, Sindhudurg, Solapur, Thane",Maharashtra,,,,,
04-12-2021 00:00,04-12-2021 00:00,1,Heavy Rains & Floods,Washim,Maharashtra,,,,,
28-12-2021 00:00,28-12-2021 00:00,1,Heavy Rains & Floods,"Buldhana, Nagpur",Maharashtra,,,,,
08-01-2022 00:00,11-01-2022 00:00,4,Heavy rains,Amravati,Maharashtra,,,,,
08-01-2022 00:00,11-01-2022 00:00,4,Heavy rains,Bhandara,Maharashtra,,,,,
08-01-2022 00:00,11-01-2022 00:00,4,Heavy rains,Chandrapur,Maharashtra,,,,,
08-01-2022 00:00,11-01-2022 00:00,4,Heavy rains,Gadchiroli,Maharashtra,,,,,
08-01-2022 00:00,11-01-2022 00:00,4,Heavy rains,Gondia,Maharashtra,,,,,
08-01-2022 00:00,11-01-2022 00:00,4,Heavy rains,Hingoli,Maharashtra,,,,,
08-01-2022 00:00,11-01-2022 00:00,4,Heavy rains,Nagpur,Maharashtra,,,,,
08-01-2022 00:00,11-01-2022 00:00,4,Heavy rains,Wardha,Maharashtra,,,,,
13-01-2022 00:00,13-01-2022 00:00,1,Heavy rains,Latur,Maharashtra,,,,,
13-01-2022 00:00,13-01-2022 00:00,1,Heavy rains,Nanded,Maharashtra,,,,,
16-01-2022 00:00,16-01-2022 00:00,1,Heavy rains,Nagpur ,Maharashtra,,,,,
04-03-2022 00:00,04-03-2022 00:00,1,Heavy rains,Nagpur,Maharashtra,,,,,
08-03-2022 00:00,09-03-2022 00:00,2,Heavy Rains,Dhule,Maharashtra,,,,,
08-03-2022 00:00,09-03-2022 00:00,2,Heavy Rains,"Jalgaon, ",Maharashtra,,,,,
08-03-2022 00:00,09-03-2022 00:00,2,Heavy Rains,Nandurbar,Maharashtra,,,,,
08-03-2022 00:00,09-03-2022 00:00,2,Heavy Rains,Nashik,Maharashtra,,,,,
04-04-2022 00:00,05-04-2022 00:00,2,Heavy Rains,Nashik,Maharashtra,,,,,
04-04-2022 00:00,05-04-2022 00:00,2,Heavy Rains,Sindhudurg,Maharashtra,,,,,
20-05-2022 00:00,20-05-2022 00:00,1,Heavy rains,Akola,Maharashtra,,,,,
20-05-2022 00:00,20-05-2022 00:00,1,Heavy rains, Aurangabad,Maharashtra,,,,,
20-05-2022 00:00,20-05-2022 00:00,1,Heavy rains,Buldhana,Maharashtra,,,,,
20-05-2022 00:00,20-05-2022 00:00,1,Heavy rains,Kolhapur,Maharashtra,,,,,
20-05-2022 00:00,20-05-2022 00:00,1,Heavy rains,Ratnagiri,Maharashtra,,,,,
20-05-2022 00:00,20-05-2022 00:00,1,Heavy rains,Sangli,Maharashtra,,,,,
20-05-2022 00:00,20-05-2022 00:00,1,Heavy rains,Satara,Maharashtra,,,,,
20-05-2022 00:00,20-05-2022 00:00,1,Heavy rains,Solapur,Maharashtra,,,,,
31-05-2022 00:00,31-05-2022 00:00,1,Heavy Rains,"Jalgaon, ",Maharashtra,,,,,
31-05-2022 00:00,31-05-2022 00:00,1,Heavy Rains,Nanded,Maharashtra,,,,,
10-06-2022 00:00,10-06-2022 00:00,1,Heavy rains,Pune ,Maharashtra,,,,,
14-06-2022 00:00,15-06-2022 00:00,2,Heavy Rains,Nagpur,Maharashtra,,,,,
20-06-2022 00:00,20-06-2022 00:00,1,Landslide,Mumbai Suburban,Maharashtra,,2,,,
24-06-2022 00:00,24-06-2022 00:00,1,Heavy Rains, Aurangabad,Maharashtra,3,,,,
01-07-2022 00:00,01-07-2022 00:00,1,Heavy Rains & Floods,Gadchiroli,Maharashtra,1,,,,
04-07-2022 00:00,04-07-2022 00:00,1,Heavy Rains & Floods,Gadchiroli,Maharashtra,1,,,,
06-07-2022 00:00,06-07-2022 00:00,1,Landslide,Mumbai,Maharashtra,,3,,,
06-07-2022 00:00,06-07-2022 00:00,1,Heavy Rains,Mumbai,Maharashtra,,,,,
06-07-2022 00:00,06-07-2022 00:00,1,Heavy Rains,Palghar,Maharashtra,,,,,
06-07-2022 00:00,06-07-2022 00:00,1,Heavy Rains,Thane,Maharashtra,,,,,
06-07-2022 00:00,06-07-2022 00:00,1,Heavy Rains,Thane,Maharashtra,1,,,,
08-07-2022 00:00,08-07-2022 00:00,1,Heavy Rains & Floods,Wardha,Maharashtra,1,1,,,
09-07-2022 00:00,09-07-2022 00:00,1,Heavy Rains & Floods,Gadchiroli,Maharashtra,4,,,,
09-07-2022 00:00,09-07-2022 00:00,1,Heavy Rains & Floods,Hingoli,Maharashtra,,,,,
09-07-2022 00:00,09-07-2022 00:00,1,Heavy Rains & Floods,Nanded,Maharashtra,,,,,
09-07-2022 00:00,09-07-2022 00:00,1,Heavy Rains & Floods,Parbhani,Maharashtra,,,,,
09-07-2022 00:00,09-07-2022 00:00,1,Heavy Rains & Floods,Sindhudurg,Maharashtra,1,,,,
09-07-2022 00:00,09-07-2022 00:00,1,Heavy Rains & Floods,Wardha,Maharashtra,4,,,,
10-07-2022 00:00,10-07-2022 00:00,1,Heavy Rains & Floods,Nagpur,Maharashtra,2,,,,
11-07-2022 00:00,11-07-2022 00:00,1,Heavy Rains & Floods,Gadchiroli,Maharashtra,1,,,,
11-07-2022 00:00,11-07-2022 00:00,1,Heavy Rains & Floods,Mumbai Suburban,Maharashtra,2,,,,
11-07-2022 00:00,11-07-2022 00:00,1,Heavy Rains & Floods,Nashik,Maharashtra,,6,,,
11-07-2022 00:00,11-07-2022 00:00,1,Heavy Rains & Floods,Pune,Maharashtra,1,,,,
11-07-2022 00:00,11-07-2022 00:00,1,Heavy Rains & Floods,Raigarh,Maharashtra,,1,,,
11-07-2022 00:00,11-07-2022 00:00,1,Heavy Rains & Floods,Sindhudurg,Maharashtra,,,,,
12-07-2022 00:00,12-07-2022 00:00,1,Heavy Rains & Floods,Mumbai,Maharashtra,3,1,,,
12-07-2022 00:00,12-07-2022 00:00,1,Heavy Rains & Floods,Nagpur,Maharashtra,6,,,,
12-07-2022 00:00,12-07-2022 00:00,1,Heavy Rains & Floods,Nashik,Maharashtra,2,,4,,
12-07-2022 00:00,12-07-2022 00:00,1,Heavy Rains & Floods,Palghar,Maharashtra,4,,,,
12-07-2022 00:00,12-07-2022 00:00,1,Heavy Rains & Floods,Thane,Maharashtra,,,,,
12-07-2022 00:00,12-07-2022 00:00,1,Heavy Rains & Floods ,Wardha,Maharashtra,1,,,,
13-07-2022 00:00,13-07-2022 00:00,1,Landslide,Palghar,Maharashtra,1,2,,,
13-07-2022 00:00,13-07-2022 00:00,1,Heavy Rains & Floods,Gadchiroli,Maharashtra,2,,,,
13-07-2022 00:00,13-07-2022 00:00,1,Heavy Rains & Floods,Nagpur,Maharashtra,3,,,,
13-07-2022 00:00,13-07-2022 00:00,1,Heavy Rains & Floods,Palghar,Maharashtra,4,,,,
13-07-2022 00:00,13-07-2022 00:00,1,Heavy Rains & Floods,Pune,Maharashtra,1,,,,
13-07-2022 00:00,13-07-2022 00:00,1,Heavy Rains & Floods,Raigarh,Maharashtra,1,2,,,
13-07-2022 00:00,13-07-2022 00:00,1,Heavy Rains & Floods,Wardha,Maharashtra,1,,,,
14-07-2022 00:00,14-07-2022 00:00,1,Heavy Rains & Floods,Gadchiroli,Maharashtra,1,,,,
14-07-2022 00:00,14-07-2022 00:00,1,Heavy Rains & Floods,Mumbai,Maharashtra,,1,,,
14-07-2022 00:00,14-07-2022 00:00,1,Heavy Rains & Floods,Nagpur,Maharashtra,1,,,,
14-07-2022 00:00,14-07-2022 00:00,1,Heavy Rains & Floods,Nanded,Maharashtra,2,,,,
14-07-2022 00:00,14-07-2022 00:00,1,Heavy Rains & Floods,Thane,Maharashtra,,,,,
14-07-2022 00:00,14-07-2022 00:00,1,Heavy Rains & Floods,Washim,Maharashtra,,,,,
15-07-2022 00:00,15-07-2022 00:00,1,Heavy Rains & Floods,Mumbai,Maharashtra,,,,,
15-07-2022 00:00,15-07-2022 00:00,1,Heavy Rains & Floods,Nagpur,Maharashtra,,,,,
15-07-2022 00:00,15-07-2022 00:00,1,Heavy Rains & Floods,Nanded,Maharashtra,,,,,
15-07-2022 00:00,15-07-2022 00:00,1,Heavy Rains & Floods,Raigarh,Maharashtra,,,,,
15-07-2022 00:00,15-07-2022 00:00,1,Heavy Rains & Floods,Thane,Maharashtra,,1,,,
16-07-2022 00:00,16-07-2022 00:00,1,Heavy Rains,Gadchiroli,Maharashtra,2,,,,
16-07-2022 00:00,16-07-2022 00:00,1,Heavy Rains,Thane,Maharashtra,,1,,,
18-07-2022 00:00,18-07-2022 00:00,1,Heavy Rains & Floods,Nagpur,Maharashtra,2,,,,
18-07-2022 00:00,18-07-2022 00:00,1,Heavy Rains & Floods,Nashik,Maharashtra,13,,,,
18-07-2022 00:00,18-07-2022 00:00,1,Heavy Rains & Floods,Washim ,Maharashtra,,,,,
19-07-2022 00:00,19-07-2022 00:00,1,Heavy Rains,Amravati,Maharashtra,2,3,,,
19-07-2022 00:00,19-07-2022 00:00,1,Heavy Rains,Nagpur,Maharashtra,,,,,
20-07-2022 00:00,22-07-2022 00:00,3,Heavy Rains & Floods,"Nagpur, ",Maharashtra,,,,,
20-07-2022 00:00,22-07-2022 00:00,3,Heavy Rains & Floods,Washim,Maharashtra,,,,,
25-07-2022 00:00,30-07-2022 00:00,3,Heavy Rains & Floods,Washim,Maharashtra,,,,,
28-07-2022 00:00,28-07-2022 00:00,1,Heavy Rains & Floods,Wardha,Maharashtra,2,,,,
04-08-2022 00:00,07-08-2022 00:00,4,Heavy Rains & Floods,Amravati,Maharashtra,9,,,,
06-08-2022 00:00,10-08-2022 00:00,5,Heavy Rains & Floods,Washim,Maharashtra,,,,,
07-08-2022 00:00,07-08-2022 00:00,1,Heavy Rains & Floods,Washim,Maharashtra,1,,,,
08-08-2022 00:00,08-08-2022 00:00,1,Heavy Rains & Floods,Amravati,Maharashtra,4,,,,
08-08-2022 00:00,08-08-2022 00:00,1,Heavy Rains & Floods,Nagpur,Maharashtra,4,,,,
08-08-2022 00:00,08-08-2022 00:00,1,Heavy Rains & Floods,Yavatmal,Maharashtra,3,,,,
09-08-2022 00:00,10-08-2022 00:00,2,Heavy Rains & Floods,Amravati,Maharashtra,6,,1,,
09-08-2022 00:00,10-08-2022 00:00,2,Heavy Rains & Floods,Chandrapur,Maharashtra,,,,,
09-08-2022 00:00,10-08-2022 00:00,2,Heavy Rains & Floods,Nashik,Maharashtra,,,,,
09-08-2022 00:00,10-08-2022 00:00,2,Heavy Rains & Floods,Palghar,Maharashtra,1,,,,
09-08-2022 00:00,10-08-2022 00:00,2,Heavy Rains & Floods,Thane,Maharashtra,,5,,,
09-08-2022 00:00,10-08-2022 00:00,2,Heavy Rains & Floods,Washim,Maharashtra,1,,,,
09-08-2022 00:00,10-08-2022 00:00,2,Heavy Rains & Floods,Yavatmal,Maharashtra,8,,,,
10-08-2022 00:00,10-08-2022 00:00,1,Heavy Rains & Floods,Wardha,Maharashtra,1,,,,
12-08-2022 00:00,12-08-2022 00:00,1,Heavy Rains & Floods,Mumbai,Maharashtra,,1,,,
12-08-2022 00:00,12-08-2022 00:00,1,Heavy Rains & Floods,Ratnagiri,Maharashtra,1,,,,
16-08-2022 00:00,17-08-2022 00:00,2,Heavy Rains & Floods,Gadchiroli,Maharashtra,2,,,,
17-08-2022 00:00,17-08-2022 00:00,1,Heavy Rains & Floods,Palghar,Maharashtra,2,,,,
20-08-2022 00:00,20-08-2022 00:00,1,Heavy Rains,Palghar,Maharashtra,,1,,,
04-09-2022 00:00,05-09-2022 00:00,2,Heavy Rains,Amravati,Maharashtra,,,,,
04-09-2022 00:00,05-09-2022 00:00,2,Heavy Rains,Yavatmal,Maharashtra,,,,,
06-09-2022 00:00,06-09-2022 00:00,1,Heavy Rains & Floods,Ahmednagar,Maharashtra,,,,,
11-09-2022 00:00,11-09-2022 00:00,1,Heavy Rains,Pune,Maharashtra,,,,,
11-09-2022 00:00,14-09-2022 00:00,4,Heavy Rains & Floods,Akola,Maharashtra,2,,,,
11-09-2022 00:00,14-09-2022 00:00,4,Heavy Rains & Floods,Amravati ,Maharashtra,2,,,,
11-09-2022 00:00,14-09-2022 00:00,4,Heavy Rains & Floods,Bhandara,Maharashtra,1,,,,
11-09-2022 00:00,14-09-2022 00:00,4,Heavy Rains & Floods,Chandrapur,Maharashtra,,,,,
11-09-2022 00:00,14-09-2022 00:00,4,Heavy Rains & Floods,Gadchiroli,Maharashtra,2,,,,
11-09-2022 00:00,14-09-2022 00:00,4,Heavy Rains & Floods,Gondia,Maharashtra,,,,,
11-09-2022 00:00,14-09-2022 00:00,4,Heavy Rains & Floods,Nagpur,Maharashtra,,,,,
11-09-2022 00:00,14-09-2022 00:00,4,Heavy Rains & Floods,Nashik,Maharashtra,,3,,,
11-09-2022 00:00,14-09-2022 00:00,4,Heavy Rains & Floods,Raigarh,Maharashtra,,3,,,
11-09-2022 00:00,14-09-2022 00:00,4,Heavy Rains & Floods,Thane,Maharashtra,2,4,,,
11-09-2022 00:00,14-09-2022 00:00,4,Heavy Rains & Floods,Wardha,Maharashtra,1,,,,
11-09-2022 00:00,14-09-2022 00:00,4,Heavy Rains & Floods,Washim,Maharashtra,,,,,
11-09-2022 00:00,14-09-2022 00:00,4,Heavy Rains & Floods,Yavatmal,Maharashtra,4,,,,
16-09-2022 00:00,16-09-2022 00:00,1,Heavy Rains & Floods,Pune,Maharashtra,1,,,,
20-09-2022 00:00,21-09-2022 00:00,2,Heavy Rains & Floods,"Bhandara, ",Maharashtra,,,,,
20-09-2022 00:00,21-09-2022 00:00,2,Heavy Rains & Floods,Gadchiroli,Maharashtra,,3,,,
20-09-2022 00:00,21-09-2022 00:00,2,Heavy Rains & Floods,Gondia,Maharashtra,2,,,,
24-09-2022 00:00,24-09-2022 00:00,1,Heavy Rains & Floods,Gadchiroli,Maharashtra,1,,,,
